Gene,A1,A2,A3,B1,B2,B3,C1,C2,C3
Gsap,139,292,108,346,340,116,345,1373,349
Gsdmd,628,852,873,785,1475,1245,1564,779,859
Gse1,30,220,206,698,1309,865,475,88,644
Gsg2,227,592,1177,155,484,264,900,769,93
Gsk3a,497,1025,931,696,1042,1195,772,1517,1001
Gsk3b,440,501,614,501,853,1545,544,46,1033
Gskip,400,610,523,663,705,925,574,0,617
Gsn,3001,2536,1428,4954,8255,7663,1912,5824,4509
Gspt1,2863,3256,3911,3036,3485,5178,3426,3125,2305
Gsr,1096,770,863,2165,1798,228,2905,1647,1549
Gss,474,823,448,723,847,291,1165,427,573
Gstk1,126,290,141,42,194,332,429,206,166
Gstm1,755,666,806,355,599,80,1490,1271,1323
Gstm4,305,164,263,347,240,416,199,0,425
Gstm5,191,126,280,184,115,291,355,0,215
Gstm7,102,166,152,58,83,664,279,319,271
Gsto1,2693,3183,3442,3716,3793,5647,5022,5208,3172
Gstp1,1482,2294,2361,2453,2519,2602,5995,3116,4219
Gstt2,196,439,339,377,525,319,1083,393,529
Gstz1,492,797,905,402,602,833,478,577,499
Gtf2a1,1104,974,1124,1609,1534,1172,1319,1656,1283
Gtf2a2,948,883,1023,985,915,523,912,787,637
Gtf2b,505,1496,988,784,1026,1126,696,1115,1019
Gtf2e1,512,362,600,752,894,1111,621,59,410
Gtf2e2,796,949,1039,1018,976,229,915,323,1829
Gtf2f1,823,1447,1848,1284,1530,1838,824,1416,1610
Gtf2f2,288,608,505,704,619,247,399,160,552
Gtf2h1,483,634,856,556,1719,911,861,1,2098
Gtf2h2,435,808,868,264,466,694,433,553,305
Gtf2h3,911,800,1119,816,1020,1614,936,520,815
Gtf2h4,469,237,592,177,778,500,539,960,884
Gtf2h5,458,664,725,650,564,748,786,609,729
Gtf2i,1645,1702,2205,1514,2685,2085,3327,3087,3321
Gtf2ird1,412,571,1029,573,698,459,631,0,185
Gtf2ird2,225,216,425,359,462,269,240,0,432
Gtf3a,441,678,743,759,684,593,775,482,643
Gtf3c1,1264,1191,2165,2777,986,1584,360,1399,1449
Gtf3c2,395,653,549,430,897,762,265,4,344
Gtf3c3,1,621,848,242,1014,258,948,103,767
Gtf3c4,2003,1317,1585,1955,2516,728,1155,1,2840
Gtf3c5,906,1303,1698,871,860,1268,1528,1583,850
Gtf3c6,884,1195,1043,818,1213,587,790,1096,947
Gtpbp1,1397,1949,2004,2344,2724,2418,3203,705,1184
Gtpbp10,216,120,349,97,695,439,356,0,229
Gtpbp2,227,309,232,320,148,870,521,94,176
Gtpbp4,1258,1834,2162,2356,2086,2570,661,678,1448
Gtpbp8,426,383,592,303,455,951,164,877,761
Gtse1,809,669,757,320,361,0,519,0,537
Gucd1,965,1051,667,838,749,215,1248,592,741
Guf1,243,560,926,901,1240,222,1234,440,482
Guk1,381,785,891,665,767,757,217,458,705
Gusb,2284,3723,4348,4026,6457,3040,2660,2479,1914
