Gene,A1,A2,A3,B1,B2,B3,C1,C2,C3
Gm21142,0,0,0,0,0,0,0,0,0
Gm21152,0,0,0,0,0,0,0,0,0
Gm25671,0,0,0,0,0,0,0,0,0
Gm28451,0,0,0,0,0,0,0,0,0
Gm1982,0,0,0,0,0,0,0,0,0
Gm1988,0,0,0,0,0,0,0,0,0
Gm6124,0,0,0,0,0,0,0,0,0
Gm16387,0,0,0,0,0,0,0,0,0
Gm9226,0,0,0,0,0,0,0,0,0
Gm23307,0,0,0,0,0,0,0,0,0
Gm29258,0,0,0,0,0,0,0,0,0
Gm9271,0,0,0,0,0,0,0,0,0
Gm5114,0,0,0,0,0,0,0,0,0
Gm27437,0,0,0,0,0,0,0,0,0
Gm5590,0,0,0,0,0,0,0,1,1
Zfp939,0,0,0,0,124,0,0,0,0
Gm28455,28,0,28,0,0,0,0,0,0
Zfp619,205,1,118,0,83,0,452,0,0
RP23-402K24.1,0,0,0,2,0,0,0,0,0
Gm4790,136,0,490,405,352,9,311,945,790
6230415J03Rik,0,1,0,0,0,0,73,0,0
